X;Y;fijacion;modelo;nomcalle;portal;barrio;leyenda_mo;codigo;observ;distritos
724596.606;4368409.03699999955;;;;;;;1;
724576.394;4368354.27;;;;;;;2;;
724560.747;4368362.746;;;;;;;3;;
724545.751;4368357.53;;;;;;;4;;
724549.011;4368376.438;;;;;;;5;;
724537.927;4368344.491;;;;;;;8;;
724536.623;4368328.19099999964;;;;;;;9;;
724545.751;4368312.543;;;;;;;11;;
724549.663;4368264.297;;;;;;;12;;
724536.623;4368274.07699999958;;;;;;;13;;
724523.584;4368229.09;;;;;;;14;;
724502.72;4368168.455;;;;;;;15;;
724527.496;4368162.588;;;;;;;16;;
724515.108;4368137.812;;;;;;;17;;
724500.764;4368064.138;;;;;;;18;;
724586.174;4368013.93599999975;;;;;;;19;;
724581.794;4367991.798;;;;;;;20;;
724601.821;4368050.44699999969;;;;;;;21;;
724642.244;4368039.363;;;;;;;22;;
724662.456;4368021.75899999961;;;;;;;23;;
724653.98;4367976.773;;;;;;;24;;
724563.355;4368148.244;;;;;;;25;;
724593.346;4368129.336;;;;;;;26;;
724595.302;4368146.94;;;;;;;27;;
724631.813;4368138.46399999969;;;;;;;28;;
724763.513;4368228.438;;;;;;;29;;
724770.685;4368255.16899999976;;;;;;;30;;
724728.958;4368264.297;;;;;;;31;;
724623.337;4368410.99299999978;;;;;;;32;;
724491.33;4368126.59399999958;;;;;;;33;;
724473.799;4368052.24;;;;;;;34;;
724487.702;4368019.597;;;;;;;35;;
724459.291;4368000.25299999956;;;;;;;36;;
724470.85;4367954.54899999965;;;;;;;37;;
724430.879;4367881.166;;;;;;;38;;
724453.85;4368077.025;;;;;;;39;;
724452.641;4368241.45;;;;;;;40;;
724419.394;4368231.778;;;;;;;41;;
724467.15;4368298.274;;;;;;;42;;
724490.121;4368326.68599999975;;;;;;;43;;
724491.33;4368351.47;;;;;;;44;;
724450.223;4368340.58899999969;;;;;;;45;;
724427.252;4368360.53799999971;;;;;;;46;;
724415.162;4368346.03;;;;;;;47;;
724396.422;4368345.42499999981;;;;;;;48;;
724366.197;4368370.815;;;;;;;49;;
724351.085;4368353.888;;;;;;;50;;
724404.281;4368370.21;;;;;;;51;;
724423.625;4368399.22599999979;;;;;;;52;;
724361.361;4368450.609;;;;;;;53;;
724368.011;4368408.898;;;;;;;54;;
724359.548;4368274.09399999958;;;;;;;55;;
724310.302;4368229.19199999981;;;;;;;56;;
724323.277;4368232.383;;;;;;;57;;
724375.869;4368209.41199999955;;;;;;;58;;
724351.689;4367581.93599999975;;;;;;;60;;
724354.107;4367529.94799999986;;;;;;;61;;
724431.483;4367550.501;;;;;;;62;;
724442.969;4367517.858;;;;;;;63;;
724410.381;4367425.133;;;;;;;64;;
724338.389;4367453.176;;;;;;;65;;
724316.023;4367454.38499999978;;;;;;;66;;
724356.966;4367444.882;;;;;;;67;;
724311.187;4367436.25;;;;;;;68;;
734726.379;4351300.352;;;;;;;69;;
734765.498;4351299.7;;;;;;;70;;
734788.317;4351296.44;;;;;;;71;;
734822.22;4351294.484;;;;;;;72;;
734850.256;4351290.57199999969;;;;;;;73;;
734827.738;4351439.24;;;;;;;78;;
